date,open,close,high,low,volume,code
2017-12-14,44.0,43.72,44.17,43.3,416197.0,000651
2017-12-15,43.71,43.11,43.71,43.06,339293.0,000651
2017-12-18,43.05,43.95,44.06,42.88,536958.0,000651
2017-12-19,43.75,44.58,44.93,43.7,590166.0,000651
2017-12-20,44.53,44.48,45.32,44.19,557610.0,000651
2017-12-21,44.61,45.06,45.21,44.32,453032.0,000651
2017-12-22,45.0,45.07,45.39,44.6,322060.0,000651
2017-12-25,45.1,45.41,46.0,45.1,500770.0,000651
2017-12-26,45.6,44.66,45.62,44.29,382289.0,000651
2017-12-27,44.73,43.18,44.78,43.11,531136.0,000651
2017-12-28,43.35,43.74,44.28,43.13,431243.0,000651
2017-12-29,43.9,43.7,44.4,43.44,368479.0,000651
2018-01-02,44.2,45.15,45.2,44.18,587146.0,000651
2018-01-03,45.3,45.65,46.46,45.2,794304.0,000651
2018-01-04,46.0,46.58,46.58,45.73,640485.0,000651
2018-01-05,46.8,47.88,47.95,46.31,781865.0,000651
2018-01-08,48.17,47.83,48.95,47.3,788630.0,000651
2018-01-09,47.72,49.4,49.48,47.59,768856.0,000651
2018-01-10,49.3,51.05,51.96,48.97,1086824.0,000651
2018-01-11,50.81,50.8,52.11,50.22,684113.0,000651
2018-01-12,50.8,53.3,53.48,50.24,854821.0,000651
2018-01-15,53.19,54.6,55.15,52.99,969441.0,000651
2018-01-16,54.1,54.37,55.48,53.41,816648.0,000651
2018-01-17,53.98,52.04,54.96,51.65,968724.0,000651
2018-01-18,51.7,52.26,53.09,51.6,606531.0,000651
2018-01-19,52.09,51.45,52.76,51.13,608047.0,000651
2018-01-22,51.5,56.6,56.6,51.5,1130541.0,000651
2018-01-23,56.5,56.79,56.9,55.45,811738.0,000651
2018-01-24,56.7,55.77,56.72,55.18,627582.0,000651
2018-01-25,55.45,55.4,56.37,54.3,590652.0,000651
2018-01-26,55.01,57.4,58.7,54.77,867829.0,000651
2018-01-29,57.0,55.78,58.07,55.0,832294.0,000651
2018-01-30,55.34,54.35,55.5,54.25,643059.0,000651
2018-01-31,54.0,55.94,56.56,53.88,667284.0,000651
2018-02-01,56.28,55.58,56.36,54.05,703187.0,000651
2018-02-02,55.01,55.49,55.88,54.2,485996.0,000651
2018-02-05,54.75,54.05,55.49,52.65,831558.0,000651
2018-02-06,52.19,53.42,53.86,51.7,980626.0,000651
2018-02-07,54.45,50.28,54.89,50.1,910326.0,000651
2018-02-08,50.3,51.0,51.86,49.15,873655.0,000651
2018-02-09,49.1,49.45,49.89,48.18,977818.0,000651
2018-02-12,49.69,51.51,51.86,49.58,763372.0,000651
2018-02-13,52.1,52.4,53.7,52.1,616850.0,000651
2018-02-14,52.51,54.24,54.38,52.51,479571.0,000651
2018-02-22,55.23,54.99,55.8,54.55,618226.0,000651
2018-02-23,55.0,54.06,55.24,53.87,566942.0,000651
2018-02-26,54.78,54.65,54.9,53.64,526466.0,000651
2018-02-27,54.65,52.01,54.65,51.83,1157391.0,000651
2018-02-28,51.09,51.69,52.51,50.45,618893.0,000651
2018-03-01,51.35,51.58,52.26,51.01,529376.0,000651
2018-03-02,51.05,52.48,52.69,50.78,563261.0,000651
2018-03-05,52.47,51.63,52.64,51.32,408807.0,000651
2018-03-06,51.93,51.87,51.96,50.51,458874.0,000651
2018-03-07,51.87,51.72,52.49,51.36,333013.0,000651
2018-03-08,51.52,53.16,53.3,51.21,548307.0,000651
2018-03-09,53.17,53.04,53.56,52.62,473887.0,000651
2018-03-12,53.35,53.29,53.95,52.3,653299.0,000651
2018-03-13,53.19,53.0,53.7,52.64,463684.0,000651
2018-03-14,52.59,52.18,52.91,52.01,413145.0,000651
2018-03-15,52.0,53.8,53.86,51.93,757443.0,000651
